epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,4269.44,1.2843,1.39658,1.58582,0.65819,0.71157,0.70625,0.46236,1.15913,1.17389,1.52752,0.000665057,0.000665057,0.000665057
56,4344.52,1.31896,1.31393,1.53282,0.65862,0.66452,0.67279,0.43418,1.15407,1.17303,1.51153,0.000650909,0.000650909,0.000650909
57,4419.5,1.28189,1.32225,1.57473,0.62384,0.71646,0.67285,0.43766,1.13175,1.12168,1.53449,0.000636762,0.000636762,0.000636762
58,4494.51,1.30028,1.37069,1.59932,0.62719,0.73577,0.70519,0.47232,1.10532,1.1546,1.51261,0.000622615,0.000622615,0.000622615
59,4570.34,1.25274,1.35855,1.54129,0.63277,0.77581,0.70696,0.4565,1.10236,1.10379,1.49147,0.000608468,0.000608468,0.000608468
60,4645.24,1.25333,1.321,1.55466,0.65564,0.7212,0.67303,0.46204,1.1112,1.12055,1.49431,0.000594321,0.000594321,0.000594321
61,4721.98,1.28794,1.36621,1.56251,0.64478,0.76827,0.70517,0.47845,1.10268,1.12185,1.50168,0.000580174,0.000580174,0.000580174
62,4800.17,1.2289,1.33791,1.52737,0.66841,0.69747,0.65551,0.43616,1.08994,1.11399,1.49144,0.000566027,0.000566027,0.000566027
63,4877.8,1.25754,1.34147,1.52855,0.63491,0.76915,0.67863,0.44737,1.09735,1.11841,1.4863,0.00055188,0.00055188,0.00055188
64,4955.49,1.24211,1.31599,1.53771,0.66972,0.74214,0.68614,0.46897,1.07843,1.11041,1.46206,0.000537733,0.000537733,0.000537733
65,5033.44,1.25341,1.3399,1.54254,0.59935,0.74519,0.64635,0.44244,1.04999,1.12466,1.44675,0.000523586,0.000523586,0.000523586
66,5110.6,1.25132,1.32547,1.5427,0.67114,0.75401,0.70615,0.48685,1.02124,1.07148,1.44472,0.000509438,0.000509438,0.000509438
67,5187.34,1.2277,1.27895,1.55648,0.64192,0.76734,0.70365,0.47498,1.06072,1.08554,1.47728,0.000495291,0.000495291,0.000495291
68,5264.72,1.18408,1.30405,1.50118,0.63088,0.7623,0.68164,0.45895,1.10841,1.10543,1.47347,0.000481144,0.000481144,0.000481144
69,5342.82,1.19399,1.27627,1.51129,0.61563,0.76476,0.69621,0.47517,1.06604,1.0864,1.45991,0.000466997,0.000466997,0.000466997
70,5419.16,1.19544,1.25933,1.48879,0.62874,0.79958,0.69965,0.48114,1.04788,1.06863,1.45106,0.00045285,0.00045285,0.00045285
71,5494.6,1.1567,1.27577,1.5083,0.67558,0.74283,0.68812,0.45129,1.06898,1.08457,1.47313,0.000438703,0.000438703,0.000438703
72,5570.47,1.211,1.27956,1.53852,0.63556,0.75668,0.69527,0.48903,1.03724,1.04786,1.4526,0.000424556,0.000424556,0.000424556
73,5646.33,1.20574,1.28389,1.512,0.62344,0.77634,0.70384,0.45002,1.07363,1.10958,1.47788,0.000410409,0.000410409,0.000410409
74,5722.9,1.2219,1.27064,1.52121,0.64822,0.74871,0.71552,0.48011,1.0706,1.08107,1.46971,0.000396262,0.000396262,0.000396262
75,5800.5,1.1698,1.27266,1.49722,0.68949,0.76224,0.69884,0.48667,1.0182,1.02091,1.43806,0.000382115,0.000382115,0.000382115
76,5877.28,1.19338,1.26899,1.47648,0.64382,0.79165,0.71032,0.49349,1.04627,1.02518,1.44744,0.000367967,0.000367967,0.000367967
77,5955,1.1712,1.24615,1.48844,0.64548,0.78724,0.71683,0.49,1.03393,1.0474,1.45453,0.00035382,0.00035382,0.00035382
78,6032.18,1.14868,1.28747,1.51169,0.69573,0.762,0.73045,0.50512,1.00465,1.02044,1.43677,0.000339673,0.000339673,0.000339673
79,6108.85,1.14674,1.25704,1.47626,0.63589,0.79128,0.7238,0.49875,1.00989,1.02431,1.43423,0.000325526,0.000325526,0.000325526
80,6185.98,1.13585,1.22801,1.47771,0.65864,0.78042,0.70894,0.48977,1.02951,1.02351,1.43283,0.000311379,0.000311379,0.000311379
81,6263.4,1.16746,1.22023,1.48916,0.64184,0.77206,0.71646,0.49523,1.03684,1.02454,1.44616,0.000297232,0.000297232,0.000297232
82,6341.01,1.11747,1.2331,1.459,0.64236,0.79516,0.70038,0.49819,0.99474,1.02471,1.41186,0.000283085,0.000283085,0.000283085
83,6418.23,1.18897,1.22923,1.47423,0.65758,0.75351,0.71382,0.49746,1.02161,1.01714,1.43124,0.000268938,0.000268938,0.000268938
84,6495.49,1.1132,1.20272,1.44975,0.68153,0.7725,0.72452,0.50222,1.02353,1.01152,1.42973,0.000254791,0.000254791,0.000254791
85,6572.55,1.13981,1.18532,1.4541,0.63856,0.77547,0.69947,0.48686,1.00219,1.01498,1.43091,0.000240644,0.000240644,0.000240644
86,6650.07,1.14307,1.23838,1.46452,0.63052,0.7867,0.71045,0.49836,0.99757,1.02467,1.42367,0.000226497,0.000226497,0.000226497
87,6727.45,1.11235,1.21322,1.47186,0.64497,0.78505,0.7206,0.50711,1.00872,1.01483,1.42168,0.000212349,0.000212349,0.000212349
88,6804.66,1.11801,1.20775,1.45938,0.62302,0.76132,0.70701,0.49325,0.98186,1.02637,1.38761,0.000198202,0.000198202,0.000198202
89,6880.68,1.11699,1.19101,1.44913,0.64019,0.80345,0.72364,0.52116,0.97523,0.99222,1.40552,0.000184055,0.000184055,0.000184055
90,6956.89,1.09974,1.21954,1.45975,0.65104,0.79053,0.7058,0.50881,0.9844,1.00435,1.40544,0.000169908,0.000169908,0.000169908
91,7033.58,0.95853,1.04934,1.3198,0.63663,0.79044,0.70821,0.49827,0.9894,1.01795,1.40806,0.000155761,0.000155761,0.000155761
92,7108.47,0.95363,1.01163,1.32009,0.64521,0.79883,0.71835,0.50955,0.97686,0.98959,1.40761,0.000141614,0.000141614,0.000141614
93,7184.81,0.93182,1.01762,1.30939,0.63058,0.80951,0.71968,0.52434,0.97058,0.98837,1.39747,0.000127467,0.000127467,0.000127467
94,7261.05,0.94747,1.00026,1.31123,0.63515,0.82564,0.72012,0.51757,0.95787,0.99161,1.38087,0.00011332,0.00011332,0.00011332
95,7336.75,0.90016,0.99694,1.28179,0.63401,0.82314,0.72333,0.52491,0.95879,0.99003,1.37278,9.91726e-05,9.91726e-05,9.91726e-05
96,7412.44,0.89789,0.9815,1.26447,0.64408,0.83897,0.73465,0.54198,0.94603,0.97744,1.36996,8.50255e-05,8.50255e-05,8.50255e-05
97,7489.33,0.88961,0.96753,1.28566,0.64842,0.83953,0.73931,0.53579,0.95386,0.98374,1.3711,7.08784e-05,7.08784e-05,7.08784e-05
98,7564.07,0.89692,0.97341,1.28181,0.64861,0.82995,0.72827,0.53288,0.94483,0.98865,1.36791,5.67313e-05,5.67313e-05,5.67313e-05
99,7639.48,0.92731,0.97048,1.28617,0.63119,0.83379,0.727,0.52968,0.93972,0.98735,1.36413,4.25842e-05,4.25842e-05,4.25842e-05
100,7714.86,0.90905,0.96235,1.25973,0.64807,0.80854,0.73025,0.53134,0.9437,0.98397,1.37225,2.84371e-05,2.84371e-05,2.84371e-05
